,Date Created,Number of Likes,Source of Tweet,Tweets
16,2022-11-05 23:59:48+00:00,0,Twitter Web App,@Mr_Inquisitr @DrJBhattacharya Long Covid is code for vaccine damage.
17,2022-11-05 23:59:48+00:00,0,Twitter for iPhone,"@montanamike_tx @cchisenhall @livingrightco @Mayhem4Markets Agreed, during Covid people were buying a bunch of shit they didn’t need. That is definitely slowing down and companies trying to hold on to “shipping delays” and shortages as reasons to keep inflation high will have to lower their prices as people stop spending"
18,2022-11-05 23:59:47+00:00,0,Twitter Web App,@ChefGruel Turkey covid going around. https://t.co/K58WVjZ2UD
19,2022-11-05 23:59:47+00:00,1,Twitter for Android,"""public health"" along with ""adults"" who were instilled with fear from psychological warfare propaganda let this happen to kids

We warned you of the lies 
We warned you masking &amp; distancing kids will weaken their developing immune systems
We showed you COVID was no threat to them https://t.co/pvwgzNJI8T"
20,2022-11-05 23:59:46+00:00,0,Twitter for Android,https://t.co/MFCc2mvD5S @FortuneMagazine  why is this guy still talking? #COVID19 #fake #Politics
21,2022-11-05 23:59:46+00:00,0,Twitter for iPhone,Yup! A root canal without medication! Being waterboarded by the CIA! Having bamboo shoots stuck up my fingernails! Getting sick with COVID! Having a heart attack! Listening to your sorry ass all night long! @realLizUSA https://t.co/uBvcDBRWx7
22,2022-11-05 23:59:45+00:00,0,Twitter for Android,"@maryohara1 You are so wrong ! Hugely costly Covid support and fuel price caps, to name but 2 things, are clear evidence of the dependency you seem blind to."
23,2022-11-05 23:59:44+00:00,0,Twitter Web App,"@bargar_d @RNCLatinos Jobs?
W. Bush 2.1M jobs, 8yrs
Obama 10.5M jobs, 8yrs
*Trump (-2.9M) jobs, 4yrs (But COVID?)
Biden 10.5M jobs, 21mths
Trump, 3yrs B4COVID 6.3M 
Obama, 3yrs B4Trump 8.0M
*Trump inherited a jobs rate he didn't sustain; lowest Obama year, 2014-16, beats Trump best year.
BLS data https://t.co/K10N4xfoGl"
24,2022-11-05 23:59:43+00:00,2,Twitter for iPhone,@mhairiforrest @jennylbenson Thanks. We are a mess after Covid. My daughter had known micro clots and now long Covid - thankfully they tested and the clots are no longer happening on her.
25,2022-11-05 23:59:43+00:00,14,Twitter for iPhone,now that im negative for covid i am running to get dicked down 🏃🏼‍♂️ happy saturday:)
26,2022-11-05 23:59:43+00:00,1,Twitter for iPhone,@itsdrsweetheart but covid is on the rise in my area again so i’m probably going to start wearing it more regularly
27,2022-11-05 23:59:43+00:00,1,Twitter for Android,"@kylenabecker #TraitorTrump who was a life long Hitler fan took from his tips from play book to discredit the media, calling every single thing they say as, ""FAKE NEWS"" including, when covid broke out unless the news flattering to him then its real  he has been fact checked and"
28,2022-11-05 23:59:42+00:00,0,Twitter Web App,"@POTUS capacity over 1 million covid deaths. 

rich but bloody hell human rights."
29,2022-11-05 23:59:41+00:00,2,Twitter for iPhone,"@HofkampMichael’s hospital: 13.7 GA rate (during Covid though) and 18.7% adjuvant rate? However, elective cesarean &lt;1% GA rate. Tertiary centre gets sicker patients, and more liberal attitude to treating pain at cesarean, prefer GA vs using ketamine/propofol
#OAA3dc2022 16/"
30,2022-11-05 23:59:38+00:00,0,Twitter for iPhone,I get winded so easily now 😭 I hate post covid/anorexia me like damn bitch
31,2022-11-05 23:59:38+00:00,9,Twitter for Android,"my roomie was gonna be gone for 4 days but she ended up getting covid but it's asymptomatic, I might be a little slow but I'll do my very best to continue work as I planned! (:

love you guys thank you so much for your patience and support always"
32,2022-11-05 23:59:35+00:00,5,Twitter for iPad,"@Teri_Kanefield Curate your feeds, tweeps. Making lists is a good way to ensure all my favourite accounts are easily accessible, without Musky algorithm suppressive nonsense. I have a US politics list, a U.K. one, a climate list, public health etc…

(hopefully Musk has forgotten about lists)"
33,2022-11-05 23:59:34+00:00,0,Twitter Web App,"NO COVID AMNIESTY.... 
GO FUCK YOURSELF........ WE WILL FIND YOU NO MATTER WHICH CORNER OF THE EARTH YOU ARE HIDDING IN.... JUDGEMENT DAY IS COMING... YOU CANNOT RUN YOU CANNOT HID... WE THE PEOPLE ARE COMING FOR ALL OF YOU ,,, BASTARDS."
34,2022-11-05 23:59:33+00:00,0,Twitter for iPhone,@moooooookieee This exactly how it was that year covid happened it was nice as hell in November then December everyone was sick
35,2022-11-05 23:59:33+00:00,0,Twitter Web App,"Images Show Digital Tool Coast Guard Using to Deny COVID-19 Vaccine Exemption Requests

https://t.co/vxcTyTCuKE"
36,2022-11-05 23:59:33+00:00,1,Twitter for iPhone,"@RetiredDiagPro @suehughes05 @evusheld4theuk @SteveBarclay @Jeremy_Hunt @Number10press @10DowningStreet @APPG_VGP @GwynneMP @Conservatives @IndependentSage @libdemdaisy @vickyfoxcroft @SalBrinton In addition - for anyone reading this who has Leukemia, please do not follow the example of @RetiredDiagPro regarding living a ‘pre-Covid life style’ (unless, like him, you want repeated Covid infections), without discussing it with your Primary Consultant/Clinical Team."
37,2022-11-05 23:59:32+00:00,7,Twitter Web App,"@conor_pope In a gentlemanly and as civilised way as possible,I repeat my response to your last post.....
Perhaps,@conor_pope is concerned for his reputation should free speech and debate expose him for his failings over the past 2.5 years to challenge the dominant narrative around COVID."
38,2022-11-05 23:59:32+00:00,0,Twitter for iPhone,@sedderaside I believe those are called glass dividers! They’re to help slow the spread of germs and covid-19. ☺️
39,2022-11-05 23:59:32+00:00,0,Twitter for iPad,@RealJamesWoods So Trump should go to jail for blocking Fauci’s attempts to save American lives from COVID.
40,2022-11-05 23:59:32+00:00,1,Twitter for iPhone,@j0sharp The body is packing it in. Says you got covid fuck it why not add a degenerate back injury
41,2022-11-05 23:59:31+00:00,2,Twitter for iPhone,"@steve_contos @biohazard1029 @smoramx @Comic_Con Yes, some could slip in at that.   It’s a bidding game for sure, and this past year they had tons more available than in past likely due to first return since Covid and some being iffy about attending. There’ll be less next year, but no way to tell how many less."
42,2022-11-05 23:59:29+00:00,0,Twitter for Android,We needed just two more weeks to put the  worst virus we had experienced in many years. But politics got in the way. We are still loosing thousands to covid. And the politician are racking in millions of dollars from the American people.
43,2022-11-05 23:59:29+00:00,2,Twitter for Android,@RealCarlVernon But it can my three kids and I stand on these whenever possible because they protect us from covid and Facism and Racism and people who shouldn't be tolerated.
44,2022-11-05 23:59:28+00:00,1,Twitter Web App,"@KenWinsor4 @DanaMetcalfe5 Schools! We haven't got any anymore!Just Brain Washing centers. That's if your lucky! Along with Pro D Days, CUPE, really long vacations, and Covid! I would say! Stop paying for 'A Merry!  Go Round', That doesn't deliver an Education to your Children!"
45,2022-11-05 23:59:27+00:00,1,Twitter Web App,"@RepSteel November 2020:
-3,000 covid deaths daily.
-Over 10 million jobs lost.
-GOP politicized virus, getting people to refuse masks, vaccinations.
-Trump focused only on conspiracy to overturn election.

Biden's American Rescue Plan saved us. Every Republican voted against it."
46,2022-11-05 23:59:26+00:00,0,Twitter for Android,"Where is the global left's @Solidarity with Chinese workers? @CanadianLabour @ProgIntl
Escape from Foxconn: Workers recount Covid chaos at iPhone factory https://t.co/gCTeCk0RId via @FRANCE24"
47,2022-11-05 23:59:23+00:00,2,Twitter for iPhone,"You have never, ever had a plan that brought any cost down. We don’t want the government involved in health care. We saw how you’ll handled Covid. You are ruining oil and gas ! Your plans are terrible. https://t.co/dtF7D5pFA9"
48,2022-11-05 23:59:21+00:00,0,Twitter for iPhone,when they call me angel &gt;&gt;&gt;&gt;&gt;
49,2022-11-05 23:59:20+00:00,0,Twitter Web App,@dorydeb1 @doctor_oxford Oh so the news is wrong then that the hospitals are under more pressure than covid waves
50,2022-11-05 23:59:18+00:00,11,Twitter for Android,"The fact that covid brought my asthma back from being just a thing ""that I used to have but it passed"" and that now when I take a deep breath sometimes I can feel that my lung capacity is worse and have this micro second of panic because I'm still not used to it after 10 months"
51,2022-11-05 23:59:15+00:00,10,Twitter for iPhone,“how have you never had covid” my mental illness acts like a shield and it scares the covid away
52,2022-11-05 23:59:15+00:00,0,Twitter for iPhone,"Know what sucks about Covid being around, I have a awesome friend who cannot get the vaccines due to what it has that can kill her. She only is able to bring proof she’s negative and has no symptoms of Covid. Sadly we were denied most conventions. Hate having to break it to her.. https://t.co/nhago64tRQ"
53,2022-11-05 23:59:13+00:00,0,Twitter Web App,"@Femi_Sorry OR...... become the Kingmaker of the world !

Don't ever underestimate anyone.

The world is talking about 'twitter/Musk/Tesla' &amp; massive financial losses of whom they (in their tiny world), perceive to be an idiot.

$44B to be TODAY's KINGMAKER is just a very small investment !"
54,2022-11-05 23:59:13+00:00,0,Twitter Web App,"@calmripples @Ganeshan Whether there is a wealth transfer or not is irrelevant. It matters whether the poor are lifted up. That happened under National, quite dramatically. It's not happening under Labour, even before covid, even as the PM said it was her sole focus.

That should tell you something."
55,2022-11-05 23:59:11+00:00,0,Twitter for Android,"@POTUS Thought you said COVID Was Over.....
60 minutes???
Can you Remember that??"
56,2022-11-05 23:59:11+00:00,0,Twitter for iPhone,Regal Edwards Calabasas shuts down https://t.co/hDozFXOyho.  Permanently! Because of bankruptcy via Covid lockdowns!!
57,2022-11-05 23:59:08+00:00,1,Twitter for iPhone,@ribongki plsss noo😭😭 it’s covid
58,2022-11-05 23:59:06+00:00,0,Twitter for iPhone,@gramdb1L @BobbyMcglinchey @goliathwillfall @POTUS The economy of the US was in a consistent growth for all of the 2010's since the Obama administration until covid hit and a recession started. If anything the economy from 2009-2020 was an incredible achievement from both the Obama and partly Trump admin.
59,2022-11-05 23:59:03+00:00,0,Twitter for Android,my dad says he blames me for bringing back covid how tf would ik i get covid
60,2022-11-05 23:59:03+00:00,5,Twitter Web App,"@sunlorrie Ironic, eh, Lorrie?

The “steps” Ford took during Covid:
* quadrupling the Science Table’s recommended safety thresholds 😬
* prioritizing biz over kids 🤑
* ending mask mandates 🦠

Doug took NO steps to keep schools safe.
Then, he used NWS to force them open  —&gt; utter chaos. 🖕🏼"
61,2022-11-05 23:59:01+00:00,0,Twitter for Android,"@guy_freire You may ""see the bird"" but I ""have the paste"" 
We are not the same 💯"
62,2022-11-05 23:59:00+00:00,0,Twitter for iPhone,"@DouglasEmhoff So sad it's come to this.  I used to choose a combo of candidates from both parties - can't do that anymore as falsehoods @ hate have spread like Covid, poisoning a portion of our society."
63,2022-11-05 23:58:59+00:00,0,Twitter for iPhone,"@billtob65 @Canigetawatwat @JoJoFromJerz If you are talking about the vaccine mandates &amp; passports, it makes sense, it was to prevent from having infections out of companies. To stop the spread of COVID, prevent from shutdowns, especially because we can’t afford another shutdown."
64,2022-11-05 23:58:59+00:00,0,Twitter Web App,"@Victorshi2020 ""Compared to this point during the 2018 general election""...  which didn't have the same post-covid early voting options."
65,2022-11-05 23:58:59+00:00,0,Twitter for Android,@lesstenny COVID-19 central
66,2022-11-05 23:58:57+00:00,0,Twitter Web App,@xabitron1 There are people that WANT covid drama in their lives  ... they can't let go of the drama even though most people are well ...
67,2022-11-05 23:58:57+00:00,0,Twitter for iPhone,@Gargi_Chaudhuri @iShares After democrats removed hundreds of thousand forcefully during Covid…
68,2022-11-05 23:58:56+00:00,0,Twitter Web App,"@nytimes ‘Misinformation’ is a COVID buzzword that is suppose to keep the narrative in line.
You keep on paying lip service to the government."
69,2022-11-05 23:58:53+00:00,0,Twitter Web App,@NicholasTyrone Because Covid and Ukraine happened. Hence most advanced economies on the planet are suffering.
70,2022-11-05 23:58:51+00:00,2,Twitter Web App,"Y’all better put some respect on Drew McIntyre’s name! He fought through the flu, food poisoning, back issues,  a neck injury and Covid! He deserves a title shot and win it! And all you haters stay in your lane and stop being jealous! https://t.co/S2TlluDWm1"
71,2022-11-05 23:58:51+00:00,1,Twitter for iPhone,"@ShaziZubair21 Worse. I came back after almost 2 years of not visiting due to covid this summer and a few weeks ago, both times the city feels more polluted than before."
72,2022-11-05 23:58:51+00:00,1,Twitter Web App,@covid_parent Will you be a good neighbour and take my jab?
73,2022-11-05 23:58:48+00:00,0,Twitter Web App,"@Chisuaka @altdolf @lgbtanime and the area I live in now has fewer white ppl and a large mixing pot of people, so now I see it also more from other poc too (and it's unfortunately even worse because of covid)
Racism typically is more someone insulting and being derogatory towards features that you cannot 1/"
74,2022-11-05 23:58:47+00:00,1,Twitter for iPhone,"@oilpaintwitch How do I join?
Just Google Tribel Social I guess 🤷🏻‍♀️ 😆

Getting through long covid atm, Yes I know many folk don’t believe in covid &amp; I would’ve had NO idea about how ill covid could make you until I got ill with covid…
Now still so ill 6 weeks on, the inflammation &amp; aches 😢😢"
75,2022-11-05 23:58:47+00:00,0,Twitter Web App,Green cardholder Wife non dom status pays no taxes  £1.1bn given to fraudsters in BBL/CIBLs Millions wasted on PPE Taxes 70 year high NI increased during cost of living crisis The only G7 economy to enter a recession  COVID rules brokenYeah I am going to vote for you 🧐
76,2022-11-05 23:58:46+00:00,0,Twitter for iPad,"Need Hail Mary to stop MAGA family from voting red? 

Ask why @GOP still trying kill ACA

Pre. Existing. Conditions.

Big donor ins cos have 1 PEC in mind:

Covid 19

Got pneumonia? Sorry, denied. pre-existing

Heart issues? Sorry

Pancreas? Damn…

Now that’s owning the libs!"
77,2022-11-05 23:58:44+00:00,0,Twitter for iPhone,"@mchooyah Perfectly stated. And they never cared about the military either…Benghazi, deadly Afghan withdrawal, non-compliance to COVID mandate resulting in discharging heroes from their posts…"
78,2022-11-05 23:58:42+00:00,0,Twitter for Android,"@EliProphet3 @gnetty7 @ThotPat65682505 @CalltoActivism Weird you missed the big, red box at the top of the page: ""All 2020 and later data are UN projections and DO NOT include any impacts of the COVID-19 virus.""

This is from a UN projection issued in Aug 2019. The 2020 &amp; 2021 data is WRONG. https://t.co/EgqAk3Xq3C"
79,2022-11-05 23:58:38+00:00,0,Twitter for Android,@backtolife_2023 Me during the covid pandemic: https://t.co/BfId2xLskB
80,2022-11-05 23:58:38+00:00,3,Twitter for Android,@TAH_Sci Agree 2 disagree.  Loads of data about covid changes 2 immune system.  Loads of kids &lt;1yr old (not masked) getting sicker w/ RSV than in past so unless a new more virulent  RSV variant has arrived we need to understand &amp; know why these &lt;1yo's are sicker en masse.  It's urgent.
81,2022-11-05 23:58:37+00:00,0,Twitter for iPhone,@NestorsApple @SixersBen @misterlamb @PhilaUnion Good job beating a team that had 11 of their starts not playing because of Covid
82,2022-11-05 23:58:36+00:00,4,Twitter Web App,@sfalmy @Idejder How many of the 30k Covid deaths since the last election were 4x4 voters?
83,2022-11-05 23:58:34+00:00,0,Twitter for iPhone,@FWDUtah @GangUbi &amp; the “Forward” party has no positions on anything 😂
84,2022-11-05 23:58:33+00:00,1,Twitter Web App,"@SimplyAGirl_ I mainly watch documentaries. when covid hit I familiarized myself with American history, which started with the men who built America. somewhere after I found all kinds of stuff. I will have to look thru my amazon video history"
85,2022-11-05 23:58:32+00:00,1,Twitter for iPhone,"@G23356321G @survivinglife3 @TrueNorthCentre YYZ (Toronto) made us stand indoors with 200 others, for two hours, for Covid testing upon arrival after we all tested negative AND provided vax documentation. We won’t be back until they vote their despot out of his throne."
86,2022-11-05 23:58:32+00:00,1,Twitter Web App,@TheMarquisMark @Choppers_Shane Those Chuck Norris Covid memes were some of the funniest things to come from the scam.
87,2022-11-05 23:58:29+00:00,7,Twitter Web App,@Jill4life3 I think many are unaware as it isn't in the press. How many know about the tens of thousands of children with long covid or the many children who have died. It's really shocking.
88,2022-11-05 23:58:28+00:00,1,Twitter Web App,"@PWHillman1 @RositaDaz48 It was unbelievable. I am in a few FB groups about old Holdens. I have one i bought 2nd hand 45 years ago. The prices of old cars and parts went through the roof and people were getting those stupid prices. It was referred to as ""Covid Tax"" as people had so much extra cash."
89,2022-11-05 23:58:21+00:00,1,Twitter for iPad,"@prima__facie She has covid, rebound."
90,2022-11-05 23:58:20+00:00,0,Twitter Web App,@pfizer not sure if everyone remembers but Pfizer use to have a 'Covid' tab on Twitter! https://t.co/fSikbGhKE9
91,2022-11-05 23:58:18+00:00,8,Twitter for iPhone,"@liz_churchill7 before COVID I didn’t think Canadians paid much attention US politics, as I didn’t much to Canadian. I’ve learned, Central Canadians to central US. From AB,Sk, down here to Texas we’re like the sames."
92,2022-11-05 23:58:17+00:00,2,Twitter for iPhone,"@catherine___c We have the tools to prevent Covid spread and should be using them (and I’m not suggesting lockdowns).
Better ventilation standards, masking indoors, more testing opportunities, isolation when diagnosed - and financial support for those who need to stay home."
93,2022-11-05 23:58:16+00:00,0,Twitter for iPhone,Family Of SEPTA Employee Who Died From COVID-19 Says Agency Left Them St... https://t.co/KdDIYlQjvc via @YouTube
94,2022-11-05 23:58:15+00:00,0,Twitter for iPhone,"UK researchers cure man with persistent Covid for over a year 

What does this mean for Long COVID?! https://t.co/IHjjOz221T"
95,2022-11-05 23:58:13+00:00,17,Twitter for Android,Who else is a 'pure blood'? Someone who has never had covid and vaccinated.
96,2022-11-05 23:58:13+00:00,1,Twitter for iPhone,"@stuartasterling My deepest condolences and prayers😢❤️🙏🏻 I can sympathize, my 9 month old son died 2 months ago of Covid. The pain is an indescribable hell. I am so sorry. Beautiful angel❤️❤️"
97,2022-11-05 23:58:11+00:00,0,Twitter for iPhone,whatever is like the newest covid strain like fucking omnideltacorona I have that one like bruh I threw up my entire body weight today
98,2022-11-05 23:58:11+00:00,0,Twitter for iPhone,@emeriticus @RonColeman Ya nobody fell for his anti COVID routine.
99,2022-11-05 23:58:06+00:00,2,Twitter for Android,"@StudPowercock69 @MarcusBlimi @FormerAntivax @Mr_Magoo5 @Bryy_Miller @HeyNurseKat @maej43 @WendyOrent @_mamadeb You think people didn't see your crappy little holocaust comparison to the covid vaccines tweet?

You think anyone's falling for your BS hahahahahahaha"
100,2022-11-05 23:58:05+00:00,0,Twitter for Android,"@Esch3887 @jchenkels @Liquids_Right @BetoORourke Apples and oranges. One affects everyone around you, the vaccine and spread of covid, the other only affects the woman who will have the child."
101,2022-11-05 23:58:02+00:00,5,Twitter Web App,'Going awesome' for the millions who have lost their lives or have COVID-induced long-term damage? https://t.co/PksdKWLnaS
102,2022-11-05 23:57:59+00:00,1,Twitter for Android,"@LifeLibertyEvan No covid vaccine mandates, for anyone, but especially not schoolkids!"
103,2022-11-05 23:57:59+00:00,0,Twitter for Android,"@timothyharriskn Note: ""St. Kitts and Nevis entered the Covid-19 Pandemic from a position of fiscal strength following nearly a decade of budget surpluses."" You took office in 2015 Covid struck in 2020.  You met ample funds accumulated over the previous 10 years by Dr. Douglas led administration."
104,2022-11-05 23:57:59+00:00,1,Twitter for iPhone,"@ArthurCDent @DerekPederson3 @ETVPod @TrentKnauer @WaitImCurious @GurusPod I wouldn’t put Rogan or Shapiro under ‘not a hack’ but shapiro’s politics are so far removed from mine that might not be fair. As to Rogan, he is all over the place spouting conspiracies about covid one minute then questioning nawaz’s the next, so that’s hack to me."
105,2022-11-05 23:57:58+00:00,0,WordPress.com,Disney’s ‘Grey’s Anatomy’ &amp; ‘9-1-1’ Drop Covid Vaccine Mandate – Deadline https://t.co/sx4pHCs31C
106,2022-11-05 23:57:56+00:00,1,Twitter for iPhone,"@matts_glove @LeafsFanMd You have to remember that was during covid year and he was really good. But last season after November, he was absolute TRASH, leafs fans were going at him"
107,2022-11-05 23:57:56+00:00,2,Twitter for iPhone,A clear description of the way Covid attacks the body. https://t.co/sY8Ims9K3v
108,2022-11-05 23:57:55+00:00,2,Twitter for iPad,@JesseDoyle2385 Very beautiful
109,2022-11-05 23:57:55+00:00,0,Twitter for iPhone,@GhostOfAdamGase @DerwinsBurner Albert Wilson wasn’t even playing that year😂. He took the Covid year
110,2022-11-05 23:57:53+00:00,1,Twitter for Android,"@ABC news tonight did a story on changes in ingredients to save the COMPANIES money. 
Guess what! Pet food companies are watering down their products and calling it GRAVY!
This after they started price gouging ""because of"" the pandemic, the supply chain, Covid variations, etc."
111,2022-11-05 23:57:52+00:00,2,Twitter for Android,@CrownsAndThings So much more important
112,2022-11-05 23:57:51+00:00,3,Twitter for Android,"@RadicalWarlock @ReidFirm @BretBaier @POTUS @Sen_JoeManchin https://t.co/da2ffgPbXw  Barack Obama and Bush added the largest debt LMAO, most of Trump's debt, (not as high as Obama and Bush) can be attributed to COVID relief bills. Man, you must feel stupid knowing Barack and Biden spent more, btw this stuff can be easily googled."
113,2022-11-05 23:57:47+00:00,1,Twitter Web App,"@B52Malmet I saw a news segment with Joy Reid in it down in Florida, she said many black voters were staying home because they were glad DeSantis did not close the state during the isolation period of COVID.
For me that bit of income does not off-set all the damage he did &amp; does now."
114,2022-11-05 23:57:46+00:00,0,Twitter for iPhone,"SEPTA Changes Take Effect To Protect Workers, Riders During Coronavirus ... https://t.co/jTESscwgDT via @YouTube"
115,2022-11-05 23:57:45+00:00,0,Twitter Web App,@mrcappelmusic @sunlorrie Ed workers wages are in line or better than comparable sectors. They have better pensions &amp; benefits compared to comparable jobs in the private sector &amp; they continued to be paid during covid even if they didn't work whereas many in private sector didn't or lost their businesses.
116,2022-11-05 23:57:44+00:00,0,Twitter for Android,"Only got crap photos as don't really care but @jo_harman was my first post Covid gig.

So good to be back watching live music, I've missed it so much 🎶 https://t.co/LRRLoDypsP"
117,2022-11-05 23:57:43+00:00,0,Twitter for iPhone,"Feds: Five IRS Employees Stole $418,000 in Covid Funds  https://t.co/tyjYzxZxYw"
118,2022-11-05 23:57:43+00:00,0,Twitter Web App,No it’s not. Gas pre covid was $2.00 &amp; some change. Now it’s $3.79 a gallon. https://t.co/IykROSG180
119,2022-11-05 23:57:42+00:00,0,Twitter for iPhone,@CortesSteve And stop the Covid vaccines that have no long term Data to prove they are safe and effective Vaccines take 15 years to trial normally
120,2022-11-05 23:57:42+00:00,0,Twitter Web App,"@POTUS Not really. What happened is an artificial decrease in employment due to government actions regarding the COVID virus. So far, those jobs lost have not been replaced.

Essentially, total employment was reduced by 15% and you're taking credit for the restoration of 5% return."
121,2022-11-05 23:57:39+00:00,1,Twitter for Android,"@AntonioTweets2 I think this whole Covid and vaccine thing is a NEW strategy by pure evil . 
To what end....is obvious. 
Who's pushing it is obvious. 
Who benifits is obvious. 
Only problem. 
How do we stop it. ?"
122,2022-11-05 23:57:37+00:00,0,Twitter for iPhone,@TLRyon Just in case there’s covid again lol. Didn’t schools and businesses shut down in Florida? Pretty sure they did. No state has a vaccine mandate .
123,2022-11-05 23:57:37+00:00,0,Twitter Web App,"@CinnamonMelody2 @alexmeshkin the theory would be you inhale virus, it tries to get into your cells, your immune system fights it off before it can start replicating, so you intake covid but it doesn't incubate and you don't spread it, it gets killed off before it reaches levels of that you would exhale"
124,2022-11-05 23:57:37+00:00,0,Twitter Web App,"@duty2warn ""Authoritarians"" are the libs who were voting to fire every worker who wouldn't get a covid vaccination."
125,2022-11-05 23:57:36+00:00,2,Twitter for Android,@manofletterz Heyy same
126,2022-11-05 23:57:31+00:00,0,Twitter for iPhone,"@tiffanyandsadie Well originally from PA and That Rachel Levine guy took her mother out of the nursing home before sending the Covid patients in.  Gov Wolfe and thé Fetterman shut down restaurants during month of December, their last chance to make money before 3 months of freeze."
127,2022-11-05 23:57:31+00:00,1,Twitter Web App,@gavieon yeha bc who gave a fuck about edg dk that too in covid era and in a year where even WORLDS was just another arcane ad i am still so disappointed by that opening ceremony
128,2022-11-05 23:57:28+00:00,230,Twitter Web App,"Got my COVID and flu shots today, as I still trust those with a lifetime's research in virology and epidemiology over people who have never heard of the words ""virology"" and ""epidemiology""."
129,2022-11-05 23:57:27+00:00,0,Twitter for iPhone,"@BradD8254 @benigma2017 @Geceyildiz @VVaughnSZN @AOC @elonmusk Science moves to the left? Was it on the right before, lol. If so science does need to move because the right has been denying &amp; rejecting science for decades with things like climate change, clean water, air, oil &amp; gas, coal, fracking, green energy etc. Add Covid too. Science"
130,2022-11-05 23:57:27+00:00,1,Twitter for Android,"@JBPritzker @JulianaforLG Remember when pritzger returned nursing home pts back into nursing homes with covid.... then made it hard to sue them over killing or harming people??? 
https://t.co/Fwex3teM5u"
131,2022-11-05 23:57:23+00:00,2,Twitter for Android,"@68logs @PierrePoilievre Answers to his paid schills with predetermined questions. 
Biggest fraud ever.
Proof of vaccine??? How'd that go over?
How about the 600 billion missing covid dollars????
$20,000 k. Please be serious."
